Country,Commodity,Port,Warehouse,Camp,Optimized Quantity (tons),Total Cost,Total Cost ($)
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,569.4305076970447,754.6206976,429704.0469530661
ITALY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,433.822084266519,908.9219449,394310.41257209616
TURKEY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,658.0320879961594,592.9102736,390153.98533138214
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,499.77814193384705,779.7189923,389686.5092022256
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,345.3624983320822,1046.48058,361415.1475648064
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,KULE,632.4621030848656,557.2910956,352465.49835364486
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,693.6514575595297,500.4153347,347113.8262997949
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,MELKEDIDA,620.4114174255762,554.5241102,344033.08920583845
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,JEWII,646.1901486375137,496.8361349,321050.6158595188
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,BOKLOMAYO,586.1728660030244,535.7790171,314059.12199779047
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,KOBE,575.2151398597855,544.2452979,313058.1351495791
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,HALEWEYIN,566.2210645748804,548.606395,310632.49700948736
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,BURAMINO,546.4794689861496,567.4757961,310113.87171522056
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,281.790006924189,1059.12202,298450.0013493611
TURKEY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,469.8260288085251,596.1427936,280083.40131990827
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,251.28189798274767,1043.24806,262149.3525836194
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,333.0917933936894,757.8532176,252434.68737956192
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,297.0494278577956,770.4946576,228874.9972075681
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<NAZARETH>,Gambella,371.3054753499253,572.225513,212470.46611181984
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,BURAMINO,371.0291841698539,532.0270878,197397.57634269726
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,HALEWEYIN,355.9747905462014,513.1576867,182671.20004020573
