Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Tigray,29.34096585,23.45,11.71432,1353.231349
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,BOKLOMAYO,59.23980876,23.45,11.71432,1383.130192
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,MELKEDIDA,77.98490186,23.45,11.71432,1401.875285
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,KOBE,67.70608958,23.45,11.71432,1391.596473
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,HALEWEYIN,72.06718671,23.45,11.71432,1395.95757
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,BURAMINO,90.93658782,23.45,11.71432,1414.826971
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,TONGO,67.71514847,23.45,11.71432,1391.605531
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,BAMBASI,59.24509311,23.45,11.71432,1383.135476
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,SHERKOLE,63.08505284,23.45,11.71432,1386.975436
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,PUGNIDO,77.09486663,23.45,11.71432,1400.98525
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,JEWII,96.28183191,23.45,11.71432,1420.172215
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,KULE,80.75188727,23.45,11.71432,1404.64227
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,TERKIEDI,91.10266734,23.45,11.71432,1414.99305
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,OKUGO,75.56316054,23.45,11.71432,1399.453544
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,AYSAITA,17.59436336,23.45,11.71432,1341.484746
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,DILLO,69.656769,23.45,11.71432,1393.547152
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,MEGADO,85.92954202,23.45,11.71432,1409.819925
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<GODE>,156.5705,Somali,104.520482,23.45,16.30448,1527.357345
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<KOMBOLCHA>,35.2768,Afar,43.5024,23.45,12.35144,1341.092523
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<KOMBOLCHA>,35.2768,Amhara,60.5268,23.45,12.35144,1358.116923
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<KOMBOLCHA>,35.2768,Tigray,17.5608,23.45,12.35144,1315.150923
